Time,N,Answer,Ratio,Type
1.14,15,26008,1.473791579,approx
5.2,15,23653,1.340341134,approx
10.19,15,22819,1.293080977,approx
30.15,15,20309,1.150847169,approx
60.15,15,18991,1.076160254,approx
300.28,15,18158,1.028956763,approx
600.26,15,17647,1,approx
1200.19,15,18130,1.027370091,approx
1.15,15,26464,1.499631665,approx
5.16,15,20427,1.157533858,approx
10.06,15,22399,1.269280898,approx
30.07,15,19603,1.110840369,approx
60.14,15,18577,1.052700176,approx
300.27,15,18601,1.05406018,approx
600.09,15,17647,1,approx
1200.25,15,18563,1.05190684,approx
1.08,15,25276,1.432311441,approx
5.24,15,22843,1.294440981,approx
10.28,15,18601,1.05406018,approx
30.08,15,19786,1.121210404,approx
60.03,15,18601,1.05406018,approx
300.24,15,18010,1.020570069,approx
600.13,15,18417,1.043633479,approx
1200.06,15,18010,1.020570069,approx
1.13,15,24653,1.39700799,approx
5.04,15,22413,1.270074234,approx
10.04,15,21885,1.240154134,approx
30.05,15,18577,1.052700176,approx
60.16,15,21467,1.216467388,approx
300.28,15,18950,1.073836913,approx
600.15,15,18601,1.05406018,approx
1200.09,15,18010,1.020570069,approx
1.12,15,25647,1.453334844,approx
5.29,15,20857,1.181900606,approx
10.12,15,22805,1.292287641,approx
30.16,15,18744,1.062163541,approx
60.25,15,20535,1.163653879,approx
300.24,15,18417,1.043633479,approx
600.23,15,18010,1.020570069,approx
1200.27,15,18010,1.020570069,approx
1.05,15,24100,1.365671219,approx
5.12,15,23572,1.335751119,approx
10.19,15,21543,1.220774069,approx
30.2,15,18950,1.073836913,approx
60.14,15,19760,1.119737066,approx
300.2,15,18563,1.05190684,approx
600.08,15,18010,1.020570069,approx
1200.21,15,18010,1.020570069,approx
1.16,15,24353,1.380007933,approx
5.2,15,24603,1.394174647,approx
10.22,15,22890,1.297104324,approx
30.09,15,19786,1.121210404,approx
60.11,15,20430,1.157703859,approx
300.21,15,18584,1.053096844,approx
600.04,15,18010,1.020570069,approx
1200.15,15,18130,1.027370091,approx
1.08,15,23392,1.325551085,approx
5.27,15,21580,1.222870743,approx
10.29,15,21194,1.200997337,approx
30.27,15,18584,1.053096844,approx
60.31,15,18718,1.060690202,approx
300.09,15,18584,1.053096844,approx
600.24,15,18417,1.043633479,approx
1200.14,15,18130,1.027370091,approx
1.11,15,28068,1.590525302,approx
5.23,15,24977,1.415368051,approx
10.29,15,19105,1.082620275,approx
30.18,15,21722,1.230917436,approx
60.16,15,19082,1.081316938,approx
300.22,15,18010,1.020570069,approx
600.1,15,18584,1.053096844,approx
1200.07,15,18010,1.020570069,approx
1.15,15,26451,1.498894996,approx
5.17,15,22677,1.285034283,approx
10.13,15,18744,1.062163541,approx
30.1,15,21228,1.20292401,approx
60.28,15,18130,1.027370091,approx
300.29,15,18742,1.062050207,approx
600.28,15,18010,1.020570069,approx
1200.29,15,17647,1,approx
1.09,15,23454,1.32906443,approx
5.25,15,22181,1.256927523,approx
10.33,15,22549,1.277780926,approx
30.07,15,19905,1.12795376,approx
60.07,15,19512,1.105683686,approx
300.08,15,18601,1.05406018,approx
600.19,15,18010,1.020570069,approx
1200.33,15,17647,1,approx
1.1,15,25349,1.436448121,approx
5.07,15,24436,1.384711282,approx
10.05,15,22399,1.269280898,approx
30.19,15,20000,1.133337111,approx
60.23,15,20322,1.151583839,approx
300.09,15,18563,1.05190684,approx
600.06,15,18563,1.05190684,approx
1200.14,15,18010,1.020570069,approx
1.18,15,23590,1.336771123,approx
5.08,15,23266,1.318411061,approx
10.29,15,22914,1.298464328,approx
30.1,15,18950,1.073836913,approx
60.17,15,18753,1.062673542,approx
300.22,15,18158,1.028956763,approx
600.17,15,17647,1,approx
1200.33,15,18417,1.043633479,approx
1.11,15,27110,1.536238454,approx
5.21,15,20330,1.152037173,approx
10.26,15,19453,1.102340341,approx
30.17,15,20069,1.137247124,approx
60.08,15,18417,1.043633479,approx
300.11,15,18744,1.062163541,approx
600.06,15,17647,1,approx
1200.27,15,17647,1,approx
81171.98,15,17647,1,exact
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
1.1,4,80,1,approx
5.12,4,80,1,approx
10.17,4,80,1,approx
30.03,4,80,1,approx
60.14,4,80,1,approx
300.03,4,80,1,approx
600.21,4,80,1,approx
1200.17,4,80,1,approx
1.1,5,24959,1,approx
5.12,5,24959,1,approx
10.17,5,24959,1,approx
30.03,5,24959,1,approx
60.14,5,24959,1,approx
300.03,5,24959,1,approx
600.21,5,24959,1,approx
1200.17,5,24959,1,approx
1.04,6,16418,1,approx
5.2,6,16418,1,approx
10.22,6,16418,1,approx
30.1,6,16418,1,approx
60.09,6,16418,1,approx
300.19,6,16418,1,approx
600.22,6,16418,1,approx
1200.11,6,16418,1,approx
1.1,7,24769,1,approx
5.3,7,24769,1,approx
10.16,7,24769,1,approx
30.13,7,24769,1,approx
60.06,7,24769,1,approx
300.13,7,24769,1,approx
600.13,7,24769,1,approx
1200.04,7,24769,1,approx
1.09,8,22562,1,approx
5.19,8,22562,1,approx
10.13,8,22562,1,approx
30.21,8,22562,1,approx
60.22,8,22562,1,approx
300.19,8,22562,1,approx
600.29,8,22562,1,approx
1200.22,8,22562,1,approx
1.24,9,14161,1,approx
5.17,9,14161,1,approx
10.16,9,14161,1,approx
30.03,9,14161,1,approx
60.11,9,14161,1,approx
300.17,9,14161,1,approx
600.03,9,14161,1,approx
1200.15,9,14161,1,approx
1.07,10,23999,1.120453803,approx
5.08,10,21419,1,approx
10.07,10,21419,1,approx
30.12,10,21419,1,approx
60.2,10,21419,1,approx
300.2,10,21419,1,approx
600.05,10,21419,1,approx
1200.08,10,21419,1,approx
1.06,11,16151,1.184872717,approx
5.16,11,14835,1.088328076,approx
10.05,11,14835,1.088328076,approx
30.08,11,14853,1.089648595,approx
60.12,11,13822,1.014012178,approx
300.21,11,13631,1,approx
600.29,11,13631,1,approx
1200.18,11,13631,1,approx
1.06,12,32928,1.094680851,approx
5.12,12,30979,1.029886968,approx
10.17,12,30719,1.021243351,approx
30.29,12,30989,1.030219415,approx
60.19,12,30080,1,approx
300.12,12,30080,1,approx
600.17,12,30080,1,approx
1200.07,12,30080,1,approx
1.04,13,26949,1.17619588,approx
5.16,13,25588,1.116794693,approx
10.03,13,24875,1.085675628,approx
30.13,13,24081,1.051021299,approx
60.13,13,23443,1.023175628,approx
300.05,13,22912,1,approx
600.24,13,22912,1,approx
1200.08,13,22912,1,approx
1.05,14,22319,1.153317487,approx
5.23,14,20837,1.076736255,approx
10.05,14,20962,1.083195535,approx
30.08,14,20497,1.059167011,approx
60.1,14,20002,1.03358826,approx
300.11,14,19352,1,approx
600.07,14,19969,1.03188301,approx
1200.12,14,19352,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
1.1,4,80,1,approx
5.12,4,80,1,approx
10.17,4,80,1,approx
30.03,4,80,1,approx
60.14,4,80,1,approx
300.03,4,80,1,approx
600.21,4,80,1,approx
1200.17,4,80,1,approx
1.1,5,24959,1,approx
5.12,5,24959,1,approx
10.17,5,24959,1,approx
30.03,5,24959,1,approx
60.14,5,24959,1,approx
300.03,5,24959,1,approx
600.21,5,24959,1,approx
1200.17,5,24959,1,approx
1.27,6,16757,1.020648069,approx
5.07,6,16418,1,approx
10.11,6,16418,1,approx
30.18,6,16418,1,approx
60.19,6,16418,1,approx
300.16,6,16418,1,approx
600.06,6,16418,1,approx
1200.16,6,16418,1,approx
1.16,7,24769,1,approx
5.1,7,24769,1,approx
10.19,7,24769,1,approx
30.24,7,24769,1,approx
60.04,7,24769,1,approx
300.11,7,24769,1,approx
600.14,7,24769,1,approx
1200.04,7,24769,1,approx
1.24,8,23484,1.040865172,approx
5.17,8,22562,1,approx
10.17,8,22562,1,approx
30.11,8,22562,1,approx
60.16,8,22562,1,approx
300.04,8,22562,1,approx
600.14,8,22562,1,approx
1200.07,8,22562,1,approx
1.19,9,18025,1.272862086,approx
5.19,9,14161,1,approx
10.21,9,14161,1,approx
30.24,9,14161,1,approx
60.1,9,14161,1,approx
300.22,9,14161,1,approx
600.18,9,14161,1,approx
1200.12,9,14161,1,approx
1.27,10,22405,1.046033895,approx
5.27,10,21419,1,approx
10.07,10,21419,1,approx
30.15,10,21419,1,approx
60.03,10,21419,1,approx
300.11,10,21419,1,approx
600.23,10,21419,1,approx
1200.12,10,21419,1,approx
1.23,11,17653,1.295062725,approx
5.1,11,15418,1.131098232,approx
10.1,11,14835,1.088328076,approx
30.1,11,14835,1.088328076,approx
60.19,11,13822,1.014012178,approx
300.33,11,13631,1,approx
600.26,11,13631,1,approx
1200.15,11,13631,1,approx
1.24,12,32736,1.088297872,approx
5.13,12,31330,1.041555851,approx
10.2,12,30719,1.021243351,approx
30.1,12,30328,1.008244681,approx
60.03,12,30328,1.008244681,approx
300.22,12,30080,1,approx
600.27,12,30080,1,approx
1200.13,12,30080,1,approx
1.26,13,28274,1.234025838,approx
5.24,13,23847,1.04080831,approx
10.28,13,24363,1.06332926,approx
30.06,13,24246,1.058222765,approx
60.26,13,23326,1.018069134,approx
300.09,13,22912,1,approx
600.05,13,22912,1,approx
1200.06,13,22912,1,approx
1.03,14,22708,1.173418768,approx
5.06,14,23213,1.199514262,approx
10.07,14,22203,1.147323274,approx
30.12,14,20479,1.058236875,approx
60.11,14,20913,1.080663497,approx
300.06,14,20148,1.041132699,approx
600.16,14,19352,1,approx
1200.1,14,19352,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
1.1,4,80,1,approx
5.12,4,80,1,approx
10.17,4,80,1,approx
30.03,4,80,1,approx
60.14,4,80,1,approx
300.03,4,80,1,approx
600.21,4,80,1,approx
1200.17,4,80,1,approx
1.1,5,24959,1,approx
5.12,5,24959,1,approx
10.17,5,24959,1,approx
30.03,5,24959,1,approx
60.14,5,24959,1,approx
300.03,5,24959,1,approx
600.21,5,24959,1,approx
1200.17,5,24959,1,approx
1.19,6,16418,1,approx
5.22,6,16418,1,approx
10.27,6,16418,1,approx
30.17,6,16418,1,approx
60.21,6,16418,1,approx
300.23,6,16418,1,approx
600.24,6,16418,1,approx
1200.07,6,16418,1,approx
1.22,7,24769,1,approx
5.05,7,24769,1,approx
10.18,7,24769,1,approx
30.12,7,24769,1,approx
60.04,7,24769,1,approx
300.12,7,24769,1,approx
600.15,7,24769,1,approx
1200.07,7,24769,1,approx
1.21,8,22562,1,approx
5.14,8,22562,1,approx
10.16,8,22562,1,approx
30.09,8,22562,1,approx
60.22,8,22562,1,approx
300.24,8,22562,1,approx
600.14,8,22562,1,approx
1200.16,8,22562,1,approx
1.18,9,14161,1,approx
5.06,9,17853,1.260716051,approx
10.24,9,14161,1,approx
30.14,9,14161,1,approx
60.16,9,14161,1,approx
300.12,9,14161,1,approx
600.21,9,14161,1,approx
1200.18,9,14161,1,approx
1.2,10,22793,1.064148653,approx
5.05,10,21419,1,approx
10.23,10,21419,1,approx
30.22,10,21419,1,approx
60.06,10,21419,1,approx
300.21,10,21419,1,approx
600.23,10,21419,1,approx
1200.12,10,21419,1,approx
1.14,11,16184,1.187293669,approx
5.23,11,15418,1.131098232,approx
10.17,11,13822,1.014012178,approx
30.07,11,13822,1.014012178,approx
60.09,11,13822,1.014012178,approx
300.21,11,13631,1,approx
600.15,11,13631,1,approx
1200.11,11,13631,1,approx
1.26,12,32499,1.080418883,approx
5.19,12,30719,1.021243351,approx
10.24,12,32155,1.068982713,approx
30.17,12,30719,1.021243351,approx
60.06,12,30080,1,approx
300.17,12,30080,1,approx
600.04,12,30080,1,approx
1200.21,12,30080,1,approx
1.22,13,28185,1.230141411,approx
5.22,13,24864,1.085195531,approx
10.11,13,23655,1.032428422,approx
30.19,13,23443,1.023175628,approx
60.19,13,23326,1.018069134,approx
300.16,13,22912,1,approx
600.23,13,23031,1.005193785,approx
1200.07,13,22912,1,approx
1.23,14,23036,1.190367921,approx
5.14,14,24185,1.249741629,approx
10.11,14,21602,1.116267053,approx
30.18,14,21375,1.104536999,approx
60.08,14,20300,1.048987185,approx
300.04,14,19352,1,approx
600.15,14,19352,1,approx
1200.03,14,19969,1.03188301,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
1.1,4,80,1,approx
5.12,4,80,1,approx
10.17,4,80,1,approx
30.03,4,80,1,approx
60.14,4,80,1,approx
300.03,4,80,1,approx
600.21,4,80,1,approx
1200.17,4,80,1,approx
1.1,5,24959,1,approx
5.12,5,24959,1,approx
10.17,5,24959,1,approx
30.03,5,24959,1,approx
60.14,5,24959,1,approx
300.03,5,24959,1,approx
600.21,5,24959,1,approx
1200.17,5,24959,1,approx
1.13,6,16418,1,approx
5.08,6,16418,1,approx
10.12,6,16418,1,approx
30.22,6,16418,1,approx
60.14,6,16418,1,approx
300.08,6,16418,1,approx
600.15,6,16418,1,approx
1200.04,6,16418,1,approx
1.13,7,24769,1,approx
5.1,7,24769,1,approx
10.11,7,24769,1,approx
30.15,7,24769,1,approx
60.14,7,24769,1,approx
300.07,7,24769,1,approx
600.09,7,24769,1,approx
1200.03,7,24769,1,approx
1.15,8,22562,1,approx
5.08,8,22562,1,approx
10.08,8,22562,1,approx
30.26,8,22562,1,approx
60.08,8,22562,1,approx
300.06,8,22562,1,approx
600.15,8,22562,1,approx
1200.05,8,22562,1,approx
1.1,9,18025,1.272862086,approx
5.08,9,17853,1.260716051,approx
10.17,9,14161,1,approx
30.18,9,14161,1,approx
60.1,9,14161,1,approx
300.21,9,14161,1,approx
600.17,9,14161,1,approx
1200.19,9,14161,1,approx
1.17,10,22827,1.065736029,approx
5.23,10,21634,1.010037817,approx
10.23,10,21419,1,approx
30.11,10,21419,1,approx
60.03,10,21419,1,approx
300.04,10,21419,1,approx
600.03,10,21419,1,approx
1200.14,10,21419,1,approx
1.05,11,20809,1.526593794,approx
5.11,11,15971,1.171667523,approx
10.11,11,13822,1.014012178,approx
30.26,11,13631,1,approx
60.09,11,13631,1,approx
300.13,11,13631,1,approx
600.17,11,13631,1,approx
1200.1,11,13631,1,approx
1.22,12,37382,1.24275266,approx
5.11,12,31733,1.054953457,approx
10.07,12,31370,1.042885638,approx
30.04,12,31370,1.042885638,approx
60.23,12,30080,1,approx
300.19,12,30080,1,approx
600.13,12,30080,1,approx
1200.26,12,30080,1,approx
1.22,13,27821,1.214254539,approx
5.04,13,25406,1.108851257,approx
10.12,13,25395,1.108371159,approx
30.14,13,22912,1,approx
60.25,13,23443,1.023175628,approx
300.18,13,22912,1,approx
600.1,13,22912,1,approx
1200.15,13,22912,1,approx
1.21,14,23853,1.232585779,approx
5.16,14,23137,1.195587019,approx
10.13,14,21798,1.126395205,approx
30.18,14,21029,1.08665771,approx
60.29,14,21029,1.08665771,approx
300.24,14,19352,1,approx
600.03,14,19352,1,approx
1200.23,14,19485,1.006872675,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
1.1,4,80,1,approx
5.12,4,80,1,approx
10.17,4,80,1,approx
30.03,4,80,1,approx
60.14,4,80,1,approx
300.03,4,80,1,approx
600.21,4,80,1,approx
1200.17,4,80,1,approx
1.1,5,24959,1,approx
5.12,5,24959,1,approx
10.17,5,24959,1,approx
30.03,5,24959,1,approx
60.14,5,24959,1,approx
300.03,5,24959,1,approx
600.21,5,24959,1,approx
1200.17,5,24959,1,approx
1.2,6,16418,1,approx
5.23,6,16418,1,approx
10.05,6,16418,1,approx
30.19,6,16418,1,approx
60.13,6,16418,1,approx
300.15,6,16418,1,approx
600.2,6,16418,1,approx
1200.23,6,16418,1,approx
1.1,7,24769,1,approx
5.03,7,24769,1,approx
10.16,7,24769,1,approx
30.1,7,24769,1,approx
60.22,7,24769,1,approx
300.1,7,24769,1,approx
600.05,7,24769,1,approx
1200.11,7,24769,1,approx
1.18,8,24379,1.080533641,approx
5.2,8,22562,1,approx
10.13,8,22562,1,approx
30.21,8,22562,1,approx
60.17,8,22562,1,approx
300.11,8,22562,1,approx
600.17,8,22562,1,approx
1200.17,8,22562,1,approx
1.19,9,14161,1,approx
5.22,9,14161,1,approx
10.03,9,14161,1,approx
30.24,9,14161,1,approx
60.1,9,14161,1,approx
300.08,9,14161,1,approx
600.07,9,14161,1,approx
1200.21,9,14161,1,approx
1.19,10,22793,1.064148653,approx
5.05,10,21419,1,approx
10.03,10,21634,1.010037817,approx
30.1,10,21419,1,approx
60.14,10,21419,1,approx
300.15,10,21419,1,approx
600.22,10,21419,1,approx
1200.15,10,21419,1,approx
1.04,11,17391,1.275841831,approx
5.1,11,14835,1.088328076,approx
10.22,11,14835,1.088328076,approx
30.06,11,13822,1.014012178,approx
60.12,11,13631,1,approx
300.11,11,13631,1,approx
600.2,11,13631,1,approx
1200.24,11,13631,1,approx
1.2,12,34237,1.138198138,approx
5.07,12,30719,1.021243351,approx
10.12,12,30989,1.030219415,approx
30.11,12,30080,1,approx
60.24,12,30080,1,approx
300.09,12,30080,1,approx
600.03,12,30080,1,approx
1200.16,12,30080,1,approx
1.24,13,25017,1.091873254,approx
5.17,13,24081,1.051021299,approx
10.14,13,25869,1.129059008,approx
30.18,13,23031,1.005193785,approx
60.24,13,23655,1.032428422,approx
300.23,13,23326,1.018069134,approx
600.18,13,22912,1,approx
1200.16,13,22912,1,approx
1.23,14,23830,1.231397272,approx
5.12,14,20300,1.048987185,approx
10.08,14,19969,1.03188301,approx
30.13,14,20277,1.047798677,approx
60.24,14,20277,1.047798677,approx
300.2,14,19969,1.03188301,approx
600.08,14,19352,1,approx
1200.24,14,19352,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
1.1,4,80,1,approx
5.12,4,80,1,approx
10.17,4,80,1,approx
30.03,4,80,1,approx
60.14,4,80,1,approx
300.03,4,80,1,approx
600.21,4,80,1,approx
1200.17,4,80,1,approx
1.1,5,24959,1,approx
5.12,5,24959,1,approx
10.17,5,24959,1,approx
30.03,5,24959,1,approx
60.14,5,24959,1,approx
300.03,5,24959,1,approx
600.21,5,24959,1,approx
1200.17,5,24959,1,approx
1.18,6,16418,1,approx
5.06,6,16418,1,approx
10.03,6,16418,1,approx
30.08,6,16418,1,approx
60.21,6,16418,1,approx
300.06,6,16418,1,approx
600.09,6,16418,1,approx
1200.08,6,16418,1,approx
1.2,7,24769,1,approx
5.13,7,24769,1,approx
10.06,7,24769,1,approx
30.11,7,24769,1,approx
60.24,7,24769,1,approx
300.16,7,24769,1,approx
600.17,7,24769,1,approx
1200.08,7,24769,1,approx
1.25,8,22562,1,approx
5.17,8,22562,1,approx
10.21,8,22562,1,approx
30.24,8,22562,1,approx
60.11,8,22562,1,approx
300.15,8,22562,1,approx
600.09,8,22562,1,approx
1200.11,8,22562,1,approx
1.19,9,22164,1.565143705,approx
5.24,9,14161,1,approx
10.24,9,14161,1,approx
30.06,9,14161,1,approx
60.23,9,14161,1,approx
300.17,9,14161,1,approx
600.12,9,14161,1,approx
1200.16,9,14161,1,approx
1.16,10,21419,1,approx
5.24,10,21801,1.017834633,approx
10.17,10,21419,1,approx
30.2,10,21419,1,approx
60.1,10,21419,1,approx
300.05,10,21419,1,approx
600.21,10,21419,1,approx
1200.08,10,21419,1,approx
1.19,11,19340,1.418824738,approx
5.2,11,13822,1.014012178,approx
10.2,11,15282,1.121120974,approx
30.11,11,13631,1,approx
60.25,11,13631,1,approx
300.06,11,13631,1,approx
600.03,11,13631,1,approx
1200.17,11,13631,1,approx
1.3,12,32859,1.092386968,approx
5.25,12,31330,1.041555851,approx
10.23,12,31640,1.051861702,approx
30.17,12,30719,1.021243351,approx
60.17,12,30080,1,approx
300.13,12,30080,1,approx
600.21,12,30080,1,approx
1200.15,12,30080,1,approx
1.19,13,28671,1.251353003,approx
5.13,13,24892,1.086417598,approx
10.17,13,24363,1.06332926,approx
30.24,13,23723,1.035396299,approx
60.03,13,22912,1,approx
300.18,13,22912,1,approx
600.04,13,22912,1,approx
1200.04,13,22912,1,approx
1.17,14,26382,1.363269946,approx
5.06,14,20962,1.083195535,approx
10.05,14,20962,1.083195535,approx
30.21,14,20393,1.05379289,approx
60.23,14,20393,1.05379289,approx
300.13,14,19969,1.03188301,approx
600.1,14,19352,1,approx
1200.03,14,19352,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
1.1,4,80,1,approx
5.12,4,80,1,approx
10.17,4,80,1,approx
30.03,4,80,1,approx
60.14,4,80,1,approx
300.03,4,80,1,approx
600.21,4,80,1,approx
1200.17,4,80,1,approx
1.1,5,24959,1,approx
5.12,5,24959,1,approx
10.17,5,24959,1,approx
30.03,5,24959,1,approx
60.14,5,24959,1,approx
300.03,5,24959,1,approx
600.21,5,24959,1,approx
1200.17,5,24959,1,approx
1.24,6,16418,1,approx
5.22,6,16418,1,approx
10.26,6,16418,1,approx
30.2,6,16418,1,approx
60.19,6,16418,1,approx
300.24,6,16418,1,approx
600.13,6,16418,1,approx
1200.07,6,16418,1,approx
1.27,7,24769,1,approx
5.09,7,24769,1,approx
10.14,7,24769,1,approx
30.09,7,24769,1,approx
60.06,7,24769,1,approx
300.11,7,24769,1,approx
600.07,7,24769,1,approx
1200.14,7,24769,1,approx
1.12,8,23484,1.040865172,approx
5.18,8,22562,1,approx
10.27,8,22562,1,approx
30.18,8,22562,1,approx
60.1,8,22562,1,approx
300.03,8,22562,1,approx
600.17,8,22562,1,approx
1200.18,8,22562,1,approx
1.27,9,17853,1.260716051,approx
5.08,9,14161,1,approx
10.22,9,14161,1,approx
30.09,9,14161,1,approx
60.23,9,14161,1,approx
300.24,9,14161,1,approx
600.24,9,14161,1,approx
1200.05,9,14161,1,approx
1.06,10,22237,1.038190392,approx
5.26,10,21419,1,approx
10.23,10,21419,1,approx
30.26,10,21419,1,approx
60.12,10,21419,1,approx
300.16,10,21419,1,approx
600.21,10,21419,1,approx
1200.19,10,21419,1,approx
1.28,11,15911,1.167265791,approx
5.21,11,14835,1.088328076,approx
10.17,11,14856,1.089868682,approx
30.2,11,14835,1.088328076,approx
60.26,11,13822,1.014012178,approx
300.15,11,13631,1,approx
600.2,11,13631,1,approx
1200.16,11,13631,1,approx
1.06,12,34730,1.154587766,approx
5.06,12,31733,1.054953457,approx
10.24,12,30719,1.021243351,approx
30.25,12,30719,1.021243351,approx
60.19,12,30080,1,approx
300.05,12,30080,1,approx
600.07,12,30080,1,approx
1200.05,12,30080,1,approx
1.04,13,26949,1.17619588,approx
5.2,13,24377,1.063940293,approx
10.18,13,23655,1.032428422,approx
30.09,13,23326,1.018069134,approx
60.05,13,24198,1.056127793,approx
300.05,13,23031,1.005193785,approx
600.05,13,23031,1.005193785,approx
1200.19,13,22912,1,approx
1.25,14,20962,1.083195535,approx
5.03,14,22189,1.146599835,approx
10.06,14,21091,1.089861513,approx
30.19,14,21502,1.111099628,approx
60.06,14,20002,1.03358826,approx
300.24,14,19969,1.03188301,approx
600.17,14,19969,1.03188301,approx
1200.07,14,19969,1.03188301,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
1.1,4,80,1,approx
5.12,4,80,1,approx
10.17,4,80,1,approx
30.03,4,80,1,approx
60.14,4,80,1,approx
300.03,4,80,1,approx
600.21,4,80,1,approx
1200.17,4,80,1,approx
1.1,5,24959,1,approx
